estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2012-2016,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2012-2016,FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5
2012-2016,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2012-2016,B25127_81_built_1939_or_earlier,43034,237,518,3682,4331,4870,3236,355,472,1280,831,956,654,355,186,113,568,1691,12,62,768,192,15,907
2012-2016,"B25127_82_1,_detached__or_attached",11981,198,311,2143,1780,2217,1203,344,407,635,656,767,336,347,167,102,200,726,0,7,292,19,15,561
2012-2016,B25127_83_2_to_4,7713,24,76,824,501,333,510,11,27,244,68,105,28,0,0,11,191,343,0,23,238,76,0,136
2012-2016,B25127_84_5_to_19,7596,0,61,487,1212,1698,913,0,0,278,88,3,248,8,9,0,177,352,0,32,135,85,0,197
2012-2016,B25127_85_20_to_49,5195,0,70,88,202,132,233,0,0,30,0,66,29,0,0,0,0,64,0,0,68,0,0,13
2012-2016,B25127_86_50_or_more,10546,15,0,82,573,477,362,0,0,89,19,1,13,0,0,0,0,165,12,0,35,12,0,0
2012-2016,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",3,0,0,58,63,13,15,0,38,4,0,14,0,0,10,0,0,41,0,0,0,0,0,0
2012-2016,B11003_1_total,121101,23705,39377,64219,256128,202160,46952,3650,12575,280739,17262,91442,106561,2255,33196,35967,10239,33043,5937,3266,5491,9476,3420,14516
2012-2016,B11003_2_married-couple_family,68707,18209,28481,50628,198439,119956,38140,2788,9727,228435,14589,76715,83377,1910,26268,28966,7501,24538,4684,2634,3342,7477,2655,11365
2012-2016,B11003_3_with_own_children_of_the_householder_under_18_years,26795,7369,12295,22513,92636,49296,16914,843,3810,110709,5755,46022,45287,512,11464,13851,2770,10292,1889,1262,1423,3412,1433,4374
2012-2016,B11003_4_under_6_years_only,11335,1107,2120,4673,23272,10011,5936,162,527,27818,754,11216,10692,72,2138,2111,690,4742,618,248,522,848,269,734
2012-2016,B11003_5_under_6_years_and_6_to_17_years,4710,1274,2644,4260,16862,11335,3144,159,808,20039,1175,9067,10593,104,2281,3000,599,1836,236,254,345,931,486,1036
2012-2016,B11003_6_6_to_17_years_only,10750,4988,7531,13580,52502,27950,7834,522,2475,62852,3826,25739,24002,336,7045,8740,1481,3714,1035,760,556,1633,678,2604
2012-2016,B11003_7_no_own_children_of_the_householder_under_18_years,41912,10840,16186,28115,105803,70660,21226,1945,5917,117726,8834,30693,38090,1398,14804,15115,4731,14246,2795,1372,1919,4065,1222,6991
2012-2016,B11003_8_other_family,52394,5496,10896,13591,57689,82204,8812,862,2848,52304,2673,14727,23184,345,6928,7001,2738,8505,1253,632,2149,1999,765,3151
2012-2016,"B11003_9_male_householder,_no_wife_present",10065,1595,2189,4294,16233,20713,2841,168,961,15835,818,4390,7378,160,1812,1829,776,2657,407,113,244,528,204,941
2012-2016,B11003_10_with_own_children_of_the_householder_under_18_years,4214,824,1012,2462,7699,9484,1056,91,589,6835,405,2129,3812,81,798,1098,287,1062,176,27,62,212,103,524
2012-2016,B11003_11_under_6_years_only,1123,224,221,657,1657,2385,312,0,163,1707,67,356,1037,28,204,200,68,365,53,0,6,44,7,163
2012-2016,B11003_12_under_6_years_and_6_to_17_years,400,63,73,347,1607,2335,113,2,108,1120,94,281,687,8,123,198,9,62,40,0,0,69,7,101
2012-2016,B11003_13_6_to_17_years_only,2691,537,718,1458,4435,4764,631,89,318,4008,244,1492,2088,45,471,700,210,635,83,27,56,99,89,260
2012-2016,B11003_14_no_own_children_of_the_householder_under_18_years,5851,771,1177,1832,8534,11229,1785,77,372,9000,413,2261,3566,79,1014,731,489,1595,231,86,182,316,101,417
2012-2016,"B11003_15_female_householder,_no_husband_present",42329,3901,8707,9297,41456,61491,5971,694,1887,36469,1855,10337,15806,185,5116,5172,1962,5848,846,519,1905,1471,561,2210
2012-2016,B11003_16_with_own_children_of_the_householder_under_18_years,21395,2014,4815,4897,21972,28933,3209,366,1184,18331,988,5975,8963,68,2830,3155,1089,3237,272,309,1301,924,385,1259
2012-2016,B11003_17_under_6_years_only,3863,409,565,627,3074,5367,694,89,348,3222,89,819,1295,0,511,292,212,599,31,45,373,150,76,265
2012-2016,B11003_18_under_6_years_and_6_to_17_years,4828,224,779,930,3570,4906,554,101,167,2508,158,753,2018,0,412,546,179,643,55,0,239,218,92,225
2012-2016,B11003_19_6_to_17_years_only,12704,1381,3471,3340,15328,18660,1961,176,669,12601,741,4403,5650,68,1907,2317,698,1995,186,264,689,556,217,769
2012-2016,B11003_20_no_own_children_of_the_householder_under_18_years,20934,1887,3892,4400,19484,32558,2762,328,703,18138,867,4362,6843,117,2286,2017,873,2611,574,210,604,547,176,951
2012-2016,B25075_1_total,112672,25783,41874,65946,241201,189084,44531,4162,12118,265351,18660,90656,98292,2412,33249,33330,10737,28710,5992,3162,3575,7727,3112,15324
2012-2016,"B25075_2_less_than_$10,000",1285,217,558,589,2221,2686,295,19,135,2406,160,912,1281,0,622,427,190,387,0,18,34,53,73,286
2012-2016,"B25075_3_$10,000_to_$14,999",86,23,69,97,218,377,19,11,68,301,26,79,140,0,200,123,13,0,0,0,0,22,0,121
2012-2016,"B25075_4_$15,000_to_$19,999",97,35,109,144,132,601,44,22,44,242,53,42,236,9,185,144,123,23,0,0,20,47,10,57
2012-2016,"B25075_5_$20,000_to_$24,999",219,55,146,168,204,651,29,8,44,140,38,81,194,0,117,86,12,33,0,0,12,17,0,128
2012-2016,"B25075_6_$25,000_to_$29,999",105,36,88,92,224,589,42,13,8,210,18,50,342,0,79,213,14,19,0,0,21,20,0,101
2012-2016,"B25075_7_$30,000_to_$34,999",182,24,32,84,278,531,0,0,0,174,65,159,190,2,78,92,5,8,0,0,0,46,11,62
2012-2016,"B25075_8_$35,000_to_$39,999",111,12,51,24,230,439,0,0,12,205,0,41,95,0,79,52,9,0,0,0,8,0,0,36
2012-2016,"B25075_9_$40,000_to_$49,999",181,25,63,152,355,505,13,0,88,244,26,161,264,0,64,68,62,26,19,0,0,0,10,121
2012-2016,"B25075_10_$50,000_to_$59,999",380,13,98,60,385,771,75,0,49,282,5,245,138,13,221,15,85,17,18,0,0,18,0,142
2012-2016,"B25075_11_$60,000_to_$69,999",156,0,23,90,378,1010,111,19,48,423,27,56,208,0,96,155,108,35,10,15,0,6,0,241
2012-2016,"B25075_12_$70,000_to_$79,999",317,0,141,302,274,1168,44,20,66,270,57,119,90,34,144,103,96,114,0,0,34,0,33,301
2012-2016,"B25075_13_$80,000_to_$89,999",243,53,157,137,453,1278,49,0,71,385,24,155,163,24,325,32,160,0,0,0,49,28,0,258
2012-2016,"B25075_14_$90,000_to_$99,999",316,79,107,244,786,1371,66,57,140,416,54,165,190,7,187,82,214,108,0,0,57,35,45,235
2012-2016,"B25075_15_$100,000_to_$124,999",932,202,707,1508,2543,5874,308,102,464,1510,185,561,1133,26,1201,437,622,169,41,9,92,275,58,1073
2012-2016,"B25075_16_$125,000_to_$149,999",1034,292,996,1970,2726,6208,239,58,758,1847,239,782,1510,11,1503,787,680,345,92,10,80,166,64,996
2012-2016,"B25075_17_$150,000_to_$174,999",2094,773,2822,3135,5126,13929,612,239,1027,3143,770,1322,3508,134,2753,1118,1308,685,85,18,69,549,225,1639
2012-2016,"B25075_18_$175,000_to_$199,999",2205,1141,2237,3731,4653,13964,483,207,860,2927,555,1489,3669,94,2738,1394,866,845,36,17,184,278,194,1225
2012-2016,"B25075_19_$200,000_to_$249,999",6999,3242,7123,9477,14527,35319,1091,609,2014,10197,1852,3868,11930,234,5738,4558,1722,2536,193,72,488,1161,746,2087
2012-2016,"B25075_20_$250,000_to_$299,999",7681,3780,7185,10018,18075,31827,1927,376,1636,13178,2151,6112,13369,338,5162,5265,1711,1741,241,18,403,1314,560,2213
2012-2016,"B25075_21_$300,000_to_$399,999",17280,6523,11336,15533,44181,41240,5047,973,2864,40945,4738,18804,22861,451,6501,10198,1700,3638,855,164,1102,2430,699,2457
2012-2016,"B25075_22_$400,000_to_$499,999",13830,4416,4787,10056,37685,17426,5543,670,847,47535,2884,16307,19596,288,2609,4407,583,2956,1603,258,485,900,372,732
2012-2016,"B25075_23_$500,000_to_$749,999",24866,3587,2351,6430,57460,8870,12633,415,670,84707,3141,28837,14616,311,1803,3029,345,8088,2149,1096,323,266,12,556
2012-2016,"B25075_24_$750,000_to_$999,999",15867,871,373,1222,26359,1307,9842,193,109,33192,835,7442,1931,256,529,374,28,4382,495,980,94,49,0,133
2012-2016,"B25075_25_$1,000,000_to_$1,499,999",9717,259,110,467,14591,375,4341,73,42,13334,356,2153,424,44,240,102,50,1853,130,406,13,0,0,67
2012-2016,"B25075_26_$1,500,000_to_$1,999,999",3492,64,45,38,3763,187,1175,19,25,4004,146,292,56,61,36,14,31,419,0,70,0,0,0,14
2012-2016,"B25075_27_$2,000,000_or_more",2997,61,160,178,3374,581,503,59,29,3134,255,422,158,75,39,55,0,283,25,11,7,47,0,43
2012-2016,B03002_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B03002_2_not_hispanic_or_latino,589903,87435,146418,222980,835821,747425,191316,13685,44390,950947,63142,314228,346513,7159,118045,123934,37261,126114,19682,12248,24838,27119,10046,52629
2012-2016,B03002_3_white_alone,235722,71639,68377,183905,471476,122505,142177,12517,35086,592735,55271,212241,202037,6633,90614,90289,34133,78821,13953,9802,16732,17896,5931,46692
2012-2016,B03002_4_black_or_african_american_alone,312557,10972,65188,21390,177896,562034,18996,642,6825,103934,5133,25634,88386,311,20240,23118,1490,31913,1127,731,6062,5358,1999,3719
2012-2016,B03002_5_american_indian_and_alaska_native_alone,1235,77,975,494,1514,2039,644,58,162,1345,172,715,1084,14,359,397,63,97,14,0,26,185,13,98
2012-2016,B03002_6_asian_alone,23675,1268,4738,10644,148778,37801,22565,119,717,209007,916,60009,34926,48,3232,4449,422,9585,3641,1243,623,2176,1574,768
2012-2016,B03002_7_native_hawaiian_and_other_pacific_islander_alone,239,0,162,146,427,241,187,0,4,567,2,251,503,0,159,115,4,21,11,0,26,51,0,0
2012-2016,B03002_8_some_other_race_alone,1903,61,252,546,4068,2563,847,0,10,3512,52,2259,1119,0,308,252,0,415,25,13,12,151,83,77
2012-2016,B03002_9_two_or_more_races,14572,3418,6726,5855,31662,20242,5900,349,1586,39847,1596,13119,18458,153,3133,5314,1149,5262,911,459,1357,1302,446,1275
2012-2016,B03002_10_two_races_including_some_other_race,969,1,78,211,1748,924,497,0,21,1736,20,869,576,0,29,233,72,210,106,0,146,112,0,25
2012-2016,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",13603,3417,6648,5644,29914,19318,5403,349,1565,38111,1576,12250,17882,153,3104,5081,1077,5052,805,459,1211,1190,446,1250
2012-2016,B03002_12_hispanic_or_latino,69106,3092,7939,20485,190550,150268,34776,622,4562,181940,4883,48207,97117,257,11136,15614,1546,25359,3938,1349,3015,14030,5781,2902
2012-2016,B03002_13_white_alone,30313,2234,5367,14055,94763,51376,21004,240,3110,120741,4068,31837,65978,203,4632,6437,1149,16205,2432,670,1084,10754,4602,2189
2012-2016,B03002_14_black_or_african_american_alone,6041,152,608,806,4878,8104,481,0,248,3412,8,966,3165,0,523,796,30,765,9,11,384,302,56,39
2012-2016,B03002_15_american_indian_and_alaska_native_alone,939,0,51,152,1343,1410,239,0,64,873,0,126,445,0,201,42,0,143,85,0,28,148,8,0
2012-2016,B03002_16_asian_alone,361,103,22,57,992,262,90,37,0,716,0,395,327,0,41,103,0,219,0,0,6,19,0,0
2012-2016,B03002_17_native_hawaiian_and_other_pacific_islander_alone,32,0,0,0,76,28,8,0,0,159,0,74,71,0,0,0,0,25,0,0,0,52,13,0
2012-2016,B03002_18_some_other_race_alone,27747,469,917,3641,77551,84322,11897,292,874,46264,471,10327,21752,19,4937,7191,208,5823,1059,507,1265,2377,854,464
2012-2016,B03002_19_two_or_more_races,3673,134,974,1774,10947,4766,1057,53,266,9775,336,4482,5379,35,802,1045,159,2179,353,161,248,378,248,210
2012-2016,B03002_20_two_races_including_some_other_race,1592,109,292,631,5700,2885,450,11,132,4683,186,1733,2258,35,504,703,15,1466,274,67,159,264,99,195
2012-2016,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",2081,25,682,1143,5247,1881,607,42,134,5092,150,2749,3121,0,298,342,144,713,79,94,89,114,149,15
2012-2016,B25063_1_total,163874,5696,12231,23049,126563,117627,56176,1429,4786,128007,5230,26417,39810,835,9856,10981,3437,39353,2484,2139,6696,4703,1618,5310
2012-2016,B25063_2_with_cash_rent,158986,5314,11734,21888,123067,114670,55268,1226,4524,124527,4698,25360,38818,753,9314,10591,3072,38551,2391,1955,6532,4635,1598,4737
2012-2016,B25063_3_less_than_$100,1517,0,38,24,136,202,171,0,0,146,0,34,0,0,9,0,0,55,0,0,0,9,0,0
2012-2016,B25063_4_$100_to_$149,917,0,84,37,433,142,15,0,0,137,0,49,30,0,0,17,0,97,0,0,78,0,0,32
2012-2016,B25063_5_$150_to_$199,1636,37,172,137,476,303,61,0,7,556,23,63,8,0,15,0,25,195,0,32,67,52,0,24
2012-2016,B25063_6_$200_to_$249,4034,45,189,128,1328,892,305,34,23,1026,16,79,128,0,42,63,9,441,0,31,101,0,0,65
2012-2016,B25063_7_$250_to_$299,2735,7,44,318,526,487,157,13,87,255,21,22,156,0,23,53,18,162,8,0,53,0,21,68
2012-2016,B25063_8_$300_to_$349,1768,32,36,169,552,419,146,9,12,607,21,73,120,0,18,0,27,159,0,48,119,0,0,76
2012-2016,B25063_9_$350_to_$399,1664,26,93,137,497,466,47,0,50,383,9,38,231,0,131,13,48,232,9,0,31,0,46,36
2012-2016,B25063_10_$400_to_$449,1772,45,62,99,416,419,132,38,46,418,0,69,69,2,35,26,17,229,9,0,24,25,0,27
2012-2016,B25063_11_$450_to_$499,1445,77,142,245,381,408,182,0,139,264,64,30,116,49,32,79,61,192,0,0,28,38,0,0
2012-2016,B25063_12_$500_to_$549,1529,17,37,149,587,641,77,29,38,481,29,166,125,6,67,31,105,207,0,0,25,23,0,78
2012-2016,B25063_13_$550_to_$599,1550,110,114,180,409,426,207,6,80,380,138,202,108,0,18,16,105,78,0,0,17,18,23,162
2012-2016,B25063_14_$600_to_$649,1743,66,345,279,742,613,98,57,83,376,65,114,48,5,99,140,197,177,0,0,98,9,13,224
2012-2016,B25063_15_$650_to_$699,1965,110,16,319,621,457,67,25,241,459,85,106,140,21,70,69,186,174,6,0,53,46,0,406
2012-2016,B25063_16_$700_to_$749,2589,111,75,277,663,657,107,38,249,384,110,205,192,59,169,104,51,176,31,0,232,120,35,288
2012-2016,B25063_17_$750_to_$799,2639,26,180,529,696,907,189,6,265,436,113,195,294,82,65,63,138,100,18,0,162,58,0,304
2012-2016,B25063_18_$800_to_$899,8545,148,457,1044,1789,2994,357,76,367,1149,200,707,598,9,169,113,404,430,14,14,598,110,0,639
2012-2016,B25063_19_$900_to_$999,9976,366,622,1688,2534,7091,650,205,324,1830,532,862,1241,98,445,364,368,937,34,23,737,149,0,256
2012-2016,"B25063_20_$1,000_to_$1,249",23167,727,1062,4230,13553,30319,4894,359,958,7472,1281,1897,5254,247,2217,2134,575,4377,245,208,2198,1027,203,726
2012-2016,"B25063_21_$1,250_to_$1,499",18608,529,1859,4498,22984,27135,7623,68,606,20183,611,4200,8439,90,2189,2327,433,7909,334,557,842,1259,393,622
2012-2016,"B25063_22_$1,500_to_$1,999",30021,1525,3713,5152,41571,25693,16818,54,694,45383,885,8706,13062,71,2496,2790,229,13254,976,466,785,1312,636,450
2012-2016,"B25063_23_$2,000_to_$2,499",19042,896,1906,1654,19247,10800,11993,118,228,23764,408,4497,5355,1,773,1437,68,5637,434,283,166,318,189,228
2012-2016,"B25063_24_$2,500_to_$2,999",9615,271,358,339,7213,2190,6084,91,18,10648,25,1797,2013,13,141,507,0,1972,191,192,110,62,39,26
2012-2016,"B25063_25_$3,000_to_$3,499",5630,135,115,205,3290,645,3052,0,9,5080,62,675,768,0,43,129,8,900,26,47,8,0,0,0
2012-2016,"B25063_26_$3,500_or_more",4879,8,15,51,2423,364,1836,0,0,2710,0,574,323,0,48,116,0,461,56,54,0,0,0,0
2012-2016,B25063_27_no_cash_rent,4888,382,497,1161,3496,2957,908,203,262,3480,532,1057,992,82,542,390,365,802,93,184,164,68,20,573
