"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"24","033",194182,22652,1950,,,,70971,6014,283,7704,54394,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",135449,6517,1950,,,,53983,4242,152,5409,41051,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",7074,1214,1950,,,,2716,70,2,626,2097,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",13242,3697,1950,,,,4668,115,2,1291,3717,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",98557,9700,1950,,,,30218,2060,145,3560,26558,,,,,,,,,,,,,,,,,,,,,,,,
"51","061",21248,5576,1950,,,,7084,268,13,1861,5964,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",21147,3980,1950,,,,7550,282,4,1987,5988,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",22612,2692,1950,,,,5601,375,9,1279,5755,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",6112,1081,1950,,,,1942,44,2,577,1739,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",11920,2842,1950,,,,4147,93,3,898,3343,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",11902,1519,1950,,,,3973,101,11,830,3372,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",14801,1187,1950,,,,5482,113,4,952,4198,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",61787,7622,1950,,,,26373,1539,44,2991,18753,,,,,,,,,,,,,,,,,,,,,,,,
"51","600",,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","610",7535,133,1950,,,,2504,230,1,362,2193,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",12158,1952,1950,,,,4976,153,7,852,3328,,,,,,,,,,,,,,,,,,,,,,,,
"51","683",,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","685",,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",17184,2735,1950,,,,5846,123,2,1592,4884,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",763956,,1960,,,,,96528,,69143,262641,,,,,,,,,,,,,,,,,,,,,,,,
